ABCD Element Group,ABCD 2.06 Element,Bioschemas/schema.org Property,Bioschemas/schema.org (Data)Types,Description,Mapping Notes
DirectAccessURI,/DataSets/DataSet/Metadata/DirectAccessURI,distribution:encodingFormat,Text,,Only if URL ends with '.zip'. Value: application/zip
IconURI,/DataSets/DataSet/Metadata/IconURI,image,URL,URL of the image symbolizing the database project.,
Unit IDs,/DataSets/DataSet/Units/Unit,about,BioSample,IDs of a unit.,All IDs are mapped to BioSample elements in about.
Unit IDs,/DataSets/DataSet/Units/Unit/SourceInstitutionID,about:identifier,Text,Code of the institution where the collection is located.,In type BioSample. First part of the triple ID.
Unit IDs,/DataSets/DataSet/Units/Unit/SourceID,about:identifier,Text,Code of the collection to which the unit belongs.,In type BioSample. Second part of the triple ID.
Unit IDs,/DataSets/DataSet/Units/Unit/UnitID,about:identifier,Text,ID of the unit.,In type BioSample. Third part of the triple ID.
Unit IDs,/DataSets/DataSet/Units/Unit/UnitGUID,about:identifier,Text or URL,Globally unique identifier of the unit.,In type BioSample.
Unit IDs,/DataSets/DataSet/Units/Unit/UnitGUID,about:identifier,URL,Globally unique identifier of the unit.,"In type BioSample. If GUID is a URL, add GUID to url element in addition"
RecordURI,/DataSets/DataSet/Units/Unit/RecordURI,about:identifier,URL,URL of the unit.,
Identification,/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified,about,Taxon,Taxon information about a unit.,
Identification,/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/HigherTaxa/HigherTaxon/HigherTaxonName,about:name,Text,Name of a taxon of higher rank.,In type Taxon.
Identification,/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/HigherTaxa/HigherTaxon/HigherTaxonRank,about:taxonRank,Text,,In type Taxon.
Identification,/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/FullScientificNameString,about:name,Text,Species name of the unit.,In type Taxon.
Identification,/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/FullScientificNameString,about:taxonRank,Text,,"In type Taxon. If one or more blanks, it's ""Species"". Else ""Genus""."
RecordBasis,/DataSets/DataSet/Units/Unit/RecordBasis,additionalType,Text,Object or entity described by this unit.,
KindOfUnit,/DataSets/DataSet/Units/Unit/KindOfUnit,keywords,Text,Type or class of material represented by this unit.,
MultiMedia,/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject,associatedMedia,MediaObject,Multimedia objects related to the unit.,Mapped to the associatedMedia property of Dataset.
MultiMedia,/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/Context,associatedMedia:description,Text,,
MultiMedia,/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/FileURI,associatedMedia:contentUrl,URL,,
MultiMedia,/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/ProductURI,associatedMedia:mainEntityOfPage,URL,,
MultiMedia,/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/Format,associatedMedia:encodingFormat,Text,,
MultiMedia,/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/FileSize,associatedMedia:contentSize,Text,Size of file in kB.,"With appended ""kB""."
MultiMedia,/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/CreatedDate,associatedMedia:dateCreated,Date,,
MultiMedia,/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/IPR/Licenses/License/Text,associatedMedia:license,CreativeWork,Specification of licenses that apply to the use of the multimedia objects.,
MultiMedia,/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/IPR/Licenses/License/Text,associatedMedia:license:name,Text,,
MultiMedia,/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/IPR/Licenses/License/Details,associatedMedia:license:description,Text,,
MultiMedia,/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/IPR/Licenses/License/URI,associatedMedia:license:uri,URL,,
MultiMedia,/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/Creator,associatedMedia:creator,Person,Name of the person that created the multimedia object.,
MultiMedia,/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/Creator,associatedMedia:creator:name,Text,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/DateTime/ISODateTimeBegin,temporalCoverage,DateTime,Start of period of collection event.,"If ISODateTimeEnd exists, mapped in front of ""/""."
Gathering,/DataSets/DataSet/Units/Unit/Gathering/DateTime/ISODateTimeEnd,temporalCoverage,DateTime,End of period of collection event.,"If ISODateTimeBegin exists, mapped behind ""/""."
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Organization,contributor or contributor:affiliation,Organization,Collector organization.,Organization mapped to affiliation if gathering agent includes a Person as well.
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Organization/Name/Representation/Text,contributor:name,Text,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Organization/Name/Representation/Abbreviation,contributor:alternateName,Text,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Organization/OrganizationGUID,contributor:identifier,Text,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Person,contributor,Person,Collector person.,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Person/FullName,contributor:name,Text,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Person/AtomisedName/InheritedName,contributor:familyName,Text,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Person/AtomisedName/GivenNames,contributor:givenName,Text,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/AgentText,contributor,Person,Name(s) of collector(s).,Usually comma-separated name strings.
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/AgentText,contributor:name,Text,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/LocalityText,spatialCoverage,Place,Location of the collection event.,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/LocalityText,spatialCoverage:description,Text,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong,spatialCoverage:geo,GeoCoordinates,Coordinates of the collection event.,Map to the same Place used for LocalityText.
Gathering,/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LongitudeDecimal,spatialCoverage:geo:longitude,Number,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LatitudeDecimal,spatialCoverage:geo:latitude,Number,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/SpatialDatum,spatialCoverage:geo:additionalType,Text,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Country,spatialCoverage,Place,Country information of the location of the collection event.,Map to a separate Place.
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Country/Name,spatialCoverage:name,name,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Country/ISO3166Code,spatialCoverage:identifier,Text,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong,spatialCoverage:geo,GeoShape,A bounding box that encompasses all coordinates.,Map to a single Place.
Gathering,/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LongitudeDecimal,spatialCoverage:geo:box,Text,,Extract the most western and eastern longitude.
Gathering,/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LatitudeDecimal,spatialCoverage:geo:box,Text,,Extract the most northern and southern latitude.
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Stratigraphy/ChronostratigraphicTerms/ChronostratigraphicTerm/Term,keywords,Text,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Stratigraphy/LithostratigraphicTerms/LithostratigraphicTerm/Term,keywords,Text,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Stratigraphy/LithostratigraphicTerms/LithostratigraphicTerm/Term,keywords,Text,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Biotope/Name,keywords,Text,,
Gathering,/DataSets/DataSet/Units/Unit/Gathering/Project/ProjectTitle,keywords,Text,,
MeasurementOrFact,/DataSets/DataSet/Units/Unit/Gathering/Altitude,variableMeasured,PropertyValue,Minimum and maximum altitude values in the dataset in meters.,
MeasurementOrFact,/DataSets/DataSet/Units/Unit/Gathering/Altitude,variableMeasured:name,Text,,Value: Elevation
MeasurementOrFact,/DataSets/DataSet/Units/Unit/Gathering/Altitude,variableMeasured:propertyID,URL,,Value: https://schema.org/elevation
MeasurementOrFact,/DataSets/DataSet/Units/Unit/Gathering/Altitude,variableMeasured:unitText,Text,,Value: m
MeasurementOrFact,/DataSets/DataSet/Units/Unit/Gathering/Altitude/LowerValue,variableMeasured:value or minValue,Number,,If UnitOfMeasurement does not exist or equals 'm'.
MeasurementOrFact,/DataSets/DataSet/Units/Unit/Gathering/Altitude/UpperValue,variableMeasured:maxValue,Number,,If UnitOfMeasurement does not exist or equals 'm'.
MeasurementOrFact,/DataSets/DataSet/Units/Unit/Gathering/Depth,variableMeasured,PropertyValue,Minimum and maximum depth values in the dataset in meters.,
MeasurementOrFact,/DataSets/DataSet/Units/Unit/Gathering/Depth,variableMeasured:name,Text,,Value: Depth
MeasurementOrFact,/DataSets/DataSet/Units/Unit/Gathering/Depth,variableMeasured:propertyID,URL,,Value: https://schema.org/depth
MeasurementOrFact,/DataSets/DataSet/Units/Unit/Gathering/Depth,variableMeasured:unitText,Text,,Value: m
MeasurementOrFact,/DataSets/DataSet/Units/Unit/Gathering/Depth/LowerValue,variableMeasured:value or minValue,Number,,If UnitOfMeasurement does not exist or equals 'm'.
MeasurementOrFact,/DataSets/DataSet/Units/Unit/Gathering/Depth/UpperValue,variableMeasured:maxValue,Number,,If UnitOfMeasurement does not exist or equals 'm'.
SourceReference,/DataSets/DataSet/Units/Unit/SourceReference,citation,CreativeWork,A work that is the unit information source.,
SourceReference,/DataSets/DataSet/Units/Unit/SourceReference/ReferenceGUID,citation:identifier,URL or Text,,Type URL if GUID starts with 'http'.
SourceReference,/DataSets/DataSet/Units/Unit/SourceReference/TitleCitation,citation:name,Text,,
SourceReference,/DataSets/DataSet/Units/Unit/SourceReference/CitationDetail,citation:description,Text,,
SourceReference,/DataSets/DataSet/Units/Unit/SourceReference/URI,citation:url,URL,,
SourceReference,/DataSets/DataSet/Units/Unit/SourceReference/DOI,citation:identifier,Text,,
UnitReference,/DataSets/DataSet/Units/Unit/UnitReferences/UnitReference,@reverse:citation,CreativeWork,A work that cites this unit.,
UnitReference,/DataSets/DataSet/Units/Unit/UnitReferences/UnitReference/ReferenceGUID,@reverse:citation:identifier,URL or Text,,
UnitReference,/DataSets/DataSet/Units/Unit/UnitReferences/UnitReference/TitleCitation,@reverse:citation:name,Text,,
UnitReference,/DataSets/DataSet/Units/Unit/UnitReferences/UnitReference/CitationDetail,@reverse:citation:description,Text,,
UnitReference,/DataSets/DataSet/Units/Unit/UnitReferences/UnitReference/URI,@reverse:citation:url,URL,,
UnitReference,/DataSets/DataSet/Units/Unit/UnitReferences/UnitReference/DOI,@reverse:citation:identifier,Text,,
